model-1608850714,1608850716,in_sample,0.57,0.249
model-1608850714,1608850717,in_sample,0.57,0.2441
model-1608850714,1608850718,in_sample,0.57,0.2418
model-1608850746,1608850747.183,in_sample,0.43,0.2511
model-1608850746,1608850748.572,in_sample,0.57,0.2444
model-1608850746,1608850749.432,in_sample,0.57,0.2563
model-1608851053,1608851055.335,0.43,0.2506,0.49,0.2604
model-1608851053,1608851056.811,0.38,0.2872,0.49,0.2502
model-1608851053,1608851058.028,0.48,0.2504,0.51,0.2505
model-1608851053,1608851059.535,0.49,0.2505,0.51,0.2503
model-1608851053,1608851060.599,0.62,0.2471,0.51,0.2511
model-1608851053,1608851062.053,0.48,0.2518,0.51,0.2512
model-1608851053,1608851063.302,0.56,0.2471,0.51,0.2518
model-1608851053,1608851064.555,0.58,0.243,0.51,0.2544
model-1608851053,1608851066.441,0.44,0.261,0.51,0.2527
model-1608851053,1608851067.351,0.37,0.2653,0.51,0.2509
model-1608851053,1608851068.414,0.5,0.2504,0.51,0.2503
model-1608851053,1608851069.434,0.5,0.25,0.51,0.2501
model-1608851053,1608851070.67,0.5,0.2499,0.52,0.2501
model-1608851053,1608851071.612,0.57,0.2498,0.48,0.2501
model-1608851053,1608851072.592,0.49,0.2502,0.5,0.2501
model-1608851053,1608851073.727,0.49,0.2501,0.52,0.25
model-1608851053,1608851074.773,0.53,0.2497,0.52,0.25
model-1608851053,1608851075.635,0.54,0.2498,0.51,0.25
model-1608851053,1608851076.525,0.5,0.2501,0.53,0.2501
model-1608851053,1608851077.221,0.58,0.2495,0.47,0.2502
model-1608851053,1608851077.884,0.48,0.2498,0.39,0.2504
model-1608851053,1608851078.559,0.44,0.2501,0.48,0.2505
model-1608851053,1608851079.722,0.6,0.2492,0.49,0.2509
model-1608851053,1608851081.018,0.47,0.2487,0.49,0.2513
model-1608851053,1608851082.804,0.46,0.2502,0.49,0.2513
model-1608851053,1608851084.098,0.54,0.2497,0.49,0.251
model-1608851053,1608851085.704,0.47,0.2487,0.49,0.2508
model-1608851053,1608851086.97,0.47,0.2499,0.49,0.2507
model-1608851053,1608851088.081,0.62,0.247,0.49,0.251
model-1608851053,1608851089.309,0.53,0.2462,0.49,0.2514
model-1608851053,1608851090.315,0.49,0.249,0.49,0.2519
model-1608851053,1608851091.277,0.46,0.2525,0.49,0.2522
model-1608851053,1608851092.616,0.51,0.2481,0.49,0.2524
model-1608851053,1608851094.012,0.46,0.2434,0.49,0.2529
model-1608851053,1608851095.176,0.52,0.2437,0.49,0.2542
model-1608851053,1608851096.021,0.45,0.2534,0.49,0.2539
model-1608851053,1608851096.866,0.48,0.2445,0.49,0.2539
model-1608851053,1608851097.598,0.51,0.2489,0.49,0.2539
model-1608851053,1608851098.327,0.5,0.2419,0.52,0.2544
model-1608851053,1608851099.061,0.61,0.2505,0.51,0.2544
model-1608851053,1608851099.864,0.51,0.252,0.51,0.254
model-1608851053,1608851100.707,0.45,0.2463,0.51,0.254
model-1608851053,1608851102.149,0.64,0.2422,0.51,0.2541
model-1608851053,1608851103.118,0.57,0.2472,0.52,0.2545
model-1608851053,1608851104.196,0.48,0.2463,0.51,0.255
model-1608851053,1608851104.931,0.48,0.2454,0.54,0.2556
model-1608851053,1608851106.14,0.46,0.2562,0.53,0.2555
model-1608851053,1608851108.056,0.51,0.2437,0.5,0.256
model-1608851053,1608851109.443,0.49,0.2384,0.49,0.2573
model-1608851053,1608851111.064,0.52,0.232,0.49,0.2599
model-1608851053,1608851113.068,0.52,0.2506,0.49,0.2619
model-1608851053,1608851114.349,0.54,0.2411,0.49,0.2642
model-1608851053,1608851115.719,0.48,0.2477,0.49,0.2645
model-1608851053,1608851116.967,0.51,0.2603,0.49,0.2625
model-1608851053,1608851118.352,0.44,0.2607,0.46,0.2598
model-1608851053,1608851120.019,0.51,0.247,0.51,0.2575
model-1608851053,1608851121.452,0.57,0.2514,0.51,0.2551
model-1608851053,1608851122.22,0.54,0.2463,0.5,0.2535
model-1608851053,1608851122.95,0.52,0.2438,0.51,0.2527
model-1608851053,1608851125.132,0.55,0.2459,0.52,0.2522
model-1608851053,1608851127.469,0.52,0.2483,0.51,0.2517
model-1608851053,1608851129.729,0.46,0.2517,0.51,0.2514
model-1608851053,1608851130.484,0.54,0.2498,0.5,0.2511
model-1608851053,1608851131.327,0.5,0.2496,0.5,0.2508
model-1608851053,1608851132.184,0.54,0.2486,0.5,0.2506
model-1608851053,1608851132.947,0.6,0.243,0.5,0.2506
model-1608851053,1608851133.593,0.61,0.2457,0.51,0.2506
model-1608851053,1608851134.23,0.59,0.2442,0.51,0.2508
model-1608851053,1608851134.856,0.5,0.2499,0.5,0.2509
model-1608851053,1608851135.515,0.52,0.2497,0.5,0.2511
model-1608851053,1608851136.194,0.5,0.249,0.5,0.2511
model-1608851053,1608851137.915,0.58,0.2453,0.5,0.2512
model-1608851053,1608851138.653,0.5,0.2498,0.51,0.2513
model-1608851053,1608851139.588,0.44,0.2504,0.51,0.2514
model-1608851053,1608851140.438,0.55,0.2447,0.51,0.2515
model-1608851053,1608851141.066,0.61,0.2449,0.53,0.2518
model-1608851053,1608851141.732,0.52,0.2465,0.51,0.2522
model-1608851053,1608851142.513,0.58,0.244,0.54,0.2529
model-1608851053,1608851143.171,0.43,0.2588,0.5,0.2537
